id,rated,turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply,time_base,time_increment,game_duration_mins,rating_gap,avg_rating,rating_tier,time_control_category,opening_family,is_upset,white_wins,turns_zscore,is_draw
mCij4hBq,True,13,resign,black,shivangithegenius,1113.0,ivangonzalez123,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3,10.0,0.0,20.0,-310.0,1268.0,Intermediate,Rapid,Sicilian Defense,False,0,-1.460762000637108,0
ifUMWtVj,True,69,mate,white,shivangithegenius,1078.0,sureka_akshat,1219,D01,Queen's Pawn Game: Chigorin Variation,4,10.0,10.0,31.5,-141.0,1148.0,Beginner,Rapid,Queen's Pawn Game,True,1,0.30340971754859547,0
Wf0zuLQQ,True,43,resign,white,gmcarlsen403,1825.0,shivangithegenius,1079,C45,Scotch Game: Haxo Gambit,8,10.0,10.0,27.17,746.0,1452.0,Intermediate,Rapid,Scotch Game,False,1,-0.5156700087519097,0
srz9QfSN,True,54,mate,black,mannat1,1328.0,shivangithegenius,1038,D01,Queen's Pawn Game: Chigorin Variation,4,10.0,10.0,29.0,290.0,1183.0,Beginner,Rapid,Queen's Pawn Game,True,0,-0.16913627839400366,0
M3vpf2Ki,True,66,mate,black,shivangithegenius,1077.0,chinmaysharma,1148,D06,Queen's Gambit Refused: Marshall Defense,4,10.0,10.0,31.0,-71.0,1112.0,Beginner,Rapid,Queen's Gambit Refused,False,0,0.20890051836007564,0
fXhNOnOn,True,64,resign,black,biyanivedant01,1358.0,shivangithegenius,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3,10.0,10.0,30.67,322.0,1197.0,Beginner,Rapid,Sicilian Defense,True,0,0.1458943855677291,0
DiCTkvZH,True,64,mate,black,rv0209,1200.0,shivangithegenius,1002,B52,Sicilian Defense: Canal Attack |  Main Line,6,10.0,10.0,30.67,198.0,1101.0,Beginner,Rapid,Sicilian Defense,True,0,0.1458943855677291,0
FSkgvV2E,True,54,resign,white,vihaandumir,1203.0,shivangithegenius,1019,B27,Sicilian Defense,3,10.0,10.0,29.0,184.0,1111.0,Beginner,Rapid,Sicilian Defense,False,1,-0.16913627839400366,0
F1mRjzPr,False,21,resign,black,shivangithegenius,1019.0,shamlanaseer,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6,15.0,3.0,31.05,-481.0,1260.0,Intermediate,Classical,Queen's Gambit Accepted,False,0,-1.2087374694677218,0
Lq24M4KQ,False,11,resign,white,medovich,1422.0,shivangithegenius,975,B20,Sicilian Defense: Bowdler Attack,3,18.0,0.0,36.0,447.0,1198.0,Beginner,Classical,Sicilian Defense,False,1,-1.5237681334294546,0
lHNM8cl5,True,19,resign,black,shivangithegenius,976.0,sorethea,1832,B06,Robatsch (Modern) Defense,4,10.0,0.0,20.0,-856.0,1404.0,Intermediate,Rapid,Robatsch (Modern) Defense,False,0,-1.2717436022600683,0
GfeEgLV3,True,28,resign,white,rico21,1569.0,shivangithegenius,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10,10.0,0.0,20.0,591.0,1274.0,Intermediate,Rapid,Blackmar-Diemer Gambit,False,1,-0.9882160046945089,0
OR6aULrW,False,22,resign,black,shivangithegenius,978.0,jojo58,1500,A45,Indian Game,2,15.0,0.0,30.0,-522.0,1239.0,Intermediate,Classical,Indian Game,False,0,-1.1772344030715485,0
Yg006qwa,False,37,resign,white,jojo58,1500.0,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17,15.0,0.0,30.0,522.0,1239.0,Intermediate,Classical,Sicilian Defense,False,1,-0.7046884071289494,0
G5S21pXK,False,34,resign,white,rajuppi,2449.0,shivangithegenius,978,A21,English Opening: King's English Variation |  Reversed Sicilian,3,30.0,30.0,77.0,1471.0,1714.0,Advanced,Classical,English Opening,False,1,-0.7991976063174693,0
R9a2DLwe,False,32,draw,draw,white_queen_1990,1207.0,shivangithegenius,978,B70,Sicilian Defense: Dragon Variation,10,20.0,25.0,53.33,229.0,1092.0,Beginner,Classical,Sicilian Defense,False,0,-0.8622037391098157,1
r4LcBZA7,False,71,resign,black,milestretch,1241.0,shivangithegenius,978,B23,Sicilian Defense: Closed Variation,3,5.0,5.0,15.92,263.0,1110.0,Beginner,Blitz,Sicilian Defense,True,0,0.36641585034094204,0
SDDXGw21,False,30,resign,white,stephen789,1500.0,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3,30.0,0.0,60.0,522.0,1239.0,Intermediate,Classical,Sicilian Defense,False,1,-0.9252098719021623,0
oqoT4DLS,False,66,resign,white,rajuppi,2443.0,shivangithegenius,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17,40.0,40.0,124.0,1465.0,1710.0,Advanced,Classical,Sicilian Defense,False,1,0.20890051836007564,0
eSociDPG,False,41,resign,white,hmbrgr,1500.0,shivangithegenius,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3,20.0,0.0,40.0,522.0,1239.0,Intermediate,Classical,Sicilian Defense,False,1,-0.5786761415442563,0
mpzYDfIK,False,49,resign,white,jjwrchess,1500.0,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,3,15.0,0.0,30.0,522.0,1239.0,Intermediate,Classical,Sicilian Defense,False,1,-0.32665161037487006,0
27zreJYy,False,3,resign,black,shivangithegenius,978.0,jjwrchess,1500,B01,Scandinavian Defense,2,15.0,0.0,30.0,-522.0,1239.0,Intermediate,Classical,Scandinavian Defense,False,0,-1.7757926645988409,0
IRYkgI8N,False,7,resign,white,adnanraj,1343.0,shivangithegenius,978,B20,Sicilian Defense: Bowdler Attack,3,10.0,0.0,20.0,365.0,1160.0,Beginner,Rapid,Sicilian Defense,False,1,-1.6497803990141477,0
tLnhk43J,False,35,mate,white,rajuppi,2436.0,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17,40.0,40.0,103.33,1458.0,1707.0,Advanced,Classical,Sicilian Defense,False,1,-0.767694539921296,0
iq3Kz06t,False,41,mate,white,rajuppi,2436.0,shivangithegenius,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,40.0,40.0,107.33,1458.0,1707.0,Advanced,Classical,Scandinavian Defense,False,1,-0.5786761415442563,0
AAw1TiNN,False,5,resign,black,shivangithegenius,978.0,balkarec,1500,C00,French Defense: Normal Variation,3,10.0,0.0,20.0,-522.0,1239.0,Intermediate,Rapid,French Defense,False,0,-1.7127865318064943,0
n4vRYUCW,False,7,resign,white,lucasimeon,1500.0,shivangithegenius,978,C21,King's Pawn Game: Beyer Gambit,4,10.0,0.0,20.0,522.0,1239.0,Intermediate,Rapid,King's Pawn Game,False,1,-1.6497803990141477,0
KYPdQv8e,False,53,mate,white,shivangithegenius,978.0,lucasimeon,1500,A80,Dutch Defense,2,10.0,0.0,20.0,-522.0,1239.0,Intermediate,Rapid,Dutch Defense,True,1,-0.20063934479017695,0
p30PeXvE,False,36,resign,black,lucasimeon,1500.0,shivangithegenius,978,A20,English Opening: King's English Variation,2,10.0,0.0,20.0,522.0,1239.0,Intermediate,Rapid,English Opening,True,0,-0.7361914735251227,0
PBS4FEld,True,8,resign,white,wing175,1521.0,gerfsh,1162,A04,Zukertort Opening: Ross Gambit,2,16.0,0.0,32.0,359.0,1342.0,Intermediate,Classical,Zukertort Opening,False,1,-1.6182773326179745,0
0lDqWVlz,True,3,resign,white,caramiecho72,1407.0,gerfsh,1500,B23,Sicilian Defense: Closed Variation,3,6.0,10.0,12.5,-93.0,1454.0,Intermediate,Rapid,Sicilian Defense,True,1,-1.7757926645988409,0
O3wdIwg7,True,28,resign,white,mazyaraghgmail,1492.0,wpc96,1458,C26,Vienna Game: Mengarini Variation,5,10.0,0.0,20.0,34.0,1475.0,Intermediate,Rapid,Vienna Game,False,1,-0.9882160046945089,0
48ktrxLp,True,30,resign,black,anrk,1414.0,wpc96,1442,C41,Philidor Defense: Larsen Variation,8,10.0,0.0,20.0,-28.0,1428.0,Intermediate,Rapid,Philidor Defense,False,0,-0.9252098719021623,0
i2GBGO0R,True,44,resign,black,wpc96,1457.0,tbaruel,1294,C44,Scotch Game,5,10.0,0.0,20.0,163.0,1376.0,Intermediate,Rapid,Scotch Game,True,0,-0.48416694235573643,0
QZSTu1aT,True,29,resign,white,acahn,1525.0,wpc96,1466,C41,Philidor Defense: Lopez Countergambit,6,10.0,0.0,20.0,59.0,1496.0,Intermediate,Rapid,Philidor Defense,False,1,-0.9567129382983356,0
ztpC1S2c,True,49,resign,white,oldpaths,1567.0,david1488,1573,A40,Modern Defense,2,8.0,12.0,25.8,-6.0,1570.0,Advanced,Rapid,Modern Defense,True,1,-0.32665161037487006,0
qc8aH5XL,True,32,resign,black,oldpaths,1578.0,lc777,1605,A40,Horwitz Defense,2,8.0,12.0,22.4,-27.0,1592.0,Advanced,Rapid,Horwitz Defense,False,0,-0.8622037391098157,0
6sTz6t7D,True,25,resign,white,jordanfury,1939.0,oldpaths,1581,E10,Blumenfeld Countergambit #2,6,8.0,12.0,21.0,358.0,1760.0,Advanced,Rapid,Blumenfeld Countergambit #2,False,1,-1.0827252038830286,0
XuyVUkDi,True,40,mate,black,porquepepe,1618.0,oldpaths,1568,C00,French Defense #2,2,5.0,10.0,16.67,50.0,1593.0,Advanced,Blitz,French Defense #2,True,0,-0.6101792079404296,0
D5Oa4vGO,True,39,resign,white,gio1212,1755.0,oldpaths,1574,A04,Zukertort Opening: Kingside Fianchetto,2,7.0,12.0,21.8,181.0,1664.0,Advanced,Rapid,Zukertort Opening,False,1,-0.6416822743366029,0
6QAiH2Yy,True,57,resign,white,oldpaths,1561.0,rubberchicken04,1596,A45,Indian Game,2,15.0,10.0,39.5,-35.0,1578.0,Advanced,Classical,Indian Game,True,1,-0.07462707920548384,0
l7top9ps,True,78,resign,black,berejokserg,1500.0,oldpaths,1554,C00,French Defense: Queen's Knight,3,5.0,40.0,62.0,-54.0,1527.0,Advanced,Blitz,French Defense,False,0,0.586937315114155,0
nG3Of11I,True,61,resign,white,oldpaths,1544.0,trump216bc,1461,D00,Queen's Pawn Game: Mason Attack,3,15.0,5.0,35.08,83.0,1502.0,Advanced,Classical,Queen's Pawn Game,False,1,0.05138518637920927,0
cUzM68JF,True,44,resign,black,oldpaths,1563.0,efer003,1335,D00,Queen's Pawn Game: Mason Attack,3,20.0,5.0,43.67,228.0,1449.0,Intermediate,Classical,Queen's Pawn Game,True,0,-0.48416694235573643,0
NZSBXWl2,True,62,mate,black,oldpaths,1579.0,fcolpo,1470,A41,Queen's Pawn,2,20.0,5.0,45.17,109.0,1524.0,Advanced,Classical,Queen's Pawn,True,0,0.08288825277538255,0
DHuXFP6C,True,87,mate,white,chesschumpchamp,1617.0,oldpaths,1590,A45,Indian Game,2,20.0,5.0,47.25,27.0,1604.0,Advanced,Classical,Indian Game,False,1,0.8704649126797145,0
00R4UOcU,True,54,mate,black,aminox,1207.0,oldpaths,1588,C02,French Defense: Advance |  Steinitz Variation,7,20.0,5.0,44.5,-381.0,1398.0,Intermediate,Classical,French Defense,False,0,-0.16913627839400366,0
IN15cBnB,True,54,resign,black,oldpaths,1595.0,sale0706,1547,D00,Queen's Pawn Game: Mason Attack,3,15.0,5.0,34.5,48.0,1571.0,Advanced,Classical,Queen's Pawn Game,True,0,-0.16913627839400366,0
WYOts2ME,True,37,resign,white,redar1,1855.0,oldpaths,1599,C01,French Defense: Exchange Variation,5,15.0,5.0,33.08,256.0,1727.0,Advanced,Classical,French Defense,False,1,-0.7046884071289494,0
oWFQ8mnz,True,50,resign,white,oldpaths,1589.0,insequitur,1547,A40,Horwitz Defense,2,15.0,5.0,34.17,42.0,1568.0,Advanced,Classical,Horwitz Defense,False,1,-0.2951485439786968,0
i2I8y9Xh,True,131,resign,white,oldpaths,1571.0,tb-123,1728,D02,Queen's Pawn Game: London System,5,30.0,0.0,60.0,-157.0,1650.0,Advanced,Classical,Queen's Pawn Game,True,1,2.2565998341113387,0
osPCRdxJ,True,48,resign,white,tb-123,1720.0,oldpaths,1579,C00,French Defense: Chigorin Variation,3,30.0,0.0,60.0,141.0,1650.0,Advanced,Classical,French Defense,False,1,-0.35815467677104335,0
Mi1AmkiI,True,47,resign,black,oldpaths,1579.0,iris_foxspring,2105,D02,Queen's Pawn Game: London System,5,15.0,5.0,33.92,-526.0,1842.0,Expert,Classical,Queen's Pawn Game,False,0,-0.38965774316721663,0
7kK30TmL,True,64,mate,black,zoro55,1768.0,oldpaths,1560,C00,French Defense: La Bourdonnais Variation,3,15.0,5.0,35.33,208.0,1664.0,Advanced,Classical,French Defense,True,0,0.1458943855677291,0
ThCXomTn,True,61,resign,white,oldpaths,1552.0,geburah,1436,D00,Queen's Pawn Game: Mason Attack,3,15.0,5.0,35.08,116.0,1494.0,Intermediate,Classical,Queen's Pawn Game,False,1,0.05138518637920927,0
4dH72B3d,True,57,mate,white,oldpaths,1536.0,urmil007,1667,D02,Queen's Pawn Game: London System,5,15.0,5.0,34.75,-131.0,1602.0,Advanced,Classical,Queen's Pawn Game,True,1,-0.07462707920548384,0
4jRtIZTy,True,51,resign,white,serai,1521.0,oldpaths,1549,A10,English Opening: Anglo-Lithuanian Variation,2,15.0,5.0,34.25,-28.0,1535.0,Advanced,Classical,English Opening,True,1,-0.2636454775825235,0
wNK2HdLb,True,58,mate,black,allahdeweswin,1251.0,oldpaths,1545,A00,Crab Opening,3,15.0,5.0,34.83,-294.0,1398.0,Intermediate,Classical,Crab Opening,False,0,-0.043124012809310566,0
d62Tg4dc,True,71,resign,white,oldpaths,1537.0,antoniogallero,1408,D00,Queen's Pawn Game: Mason Attack,3,15.0,5.0,35.92,129.0,1472.0,Intermediate,Classical,Queen's Pawn Game,False,1,0.36641585034094204,0
TaSQfvww,True,114,resign,white,oldpaths,1522.0,matheuswillx,1512,A40,Queen's Pawn,1,15.0,5.0,39.5,10.0,1517.0,Advanced,Classical,Queen's Pawn,False,1,1.721047705376393,0
Xwpzq87m,True,39,resign,white,euler_jr,1602.0,oldpaths,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,11,15.0,5.0,33.25,70.0,1567.0,Advanced,Classical,French Defense,False,1,-0.6416822743366029,0
AHmgnsKz,True,20,resign,black,oldpaths,1543.0,euler_jr,1593,D02,Queen's Pawn Game: London System,5,15.0,5.0,31.67,-50.0,1568.0,Advanced,Classical,Queen's Pawn Game,False,0,-1.240240535863895,0
mEAvshF2,True,34,mate,black,hoanghieudro2,1409.0,oldpaths,1548,C00,French Defense: Knight Variation,3,20.0,10.0,45.67,-139.0,1478.0,Intermediate,Classical,French Defense,False,0,-0.7991976063174693,0
ySsVdRfw,True,51,resign,white,oldpaths,1539.0,hoanghieudro2,1418,D02,Queen's Pawn Game: London System,5,20.0,10.0,48.5,121.0,1478.0,Intermediate,Classical,Queen's Pawn Game,False,1,-0.2636454775825235,0
8mceLIXN,True,28,resign,white,oldpaths,1542.0,gabrielsol,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4,20.0,10.0,44.67,143.0,1470.0,Intermediate,Classical,Queen's Pawn Game,False,1,-0.9882160046945089,0
YmJpuJkM,True,62,resign,black,oldpaths,1546.0,crushmik,1877,D02,Queen's Pawn Game: London System,5,20.0,10.0,50.33,-331.0,1712.0,Advanced,Classical,Queen's Pawn Game,False,0,0.08288825277538255,0
PNNfempy,True,62,mate,black,amary33,1134.0,oldpaths,1535,A47,Queen's Indian Defense,4,20.0,10.0,50.33,-401.0,1334.0,Intermediate,Classical,Queen's Indian Defense,False,0,0.08288825277538255,0
TVfozmF5,True,85,mate,white,oldpaths,1513.0,remisero,1784,A40,Horwitz Defense,2,20.0,10.0,54.17,-271.0,1648.0,Advanced,Classical,Horwitz Defense,True,1,0.8074587798873679,0
4LX77G3m,True,38,resign,white,oldpaths,1501.0,ryan94,1445,D02,Queen's Pawn Game: London System,5,20.0,10.0,46.33,56.0,1473.0,Intermediate,Classical,Queen's Pawn Game,False,1,-0.6731853407327761,0
nBfSissu,False,14,resign,white,lotfibma,1500.0,hollyandclaws,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8,45.0,0.0,90.0,0.0,1500.0,Intermediate,Classical,Italian Game,False,1,-1.4292589342409348,0
h1unxHlo,True,113,draw,draw,avelez8,1745.0,anonymous1705,1714,D06,Queen's Gambit Refused: Marshall Defense,4,15.0,0.0,30.0,31.0,1730.0,Advanced,Classical,Queen's Gambit Refused,False,0,1.6895446389802198,1
OIyTAHCP,True,62,resign,white,avelez8,1734.0,ars01,1748,D06,Queen's Gambit Refused: Marshall Defense,4,15.0,0.0,30.0,-14.0,1741.0,Advanced,Classical,Queen's Gambit Refused,True,1,0.08288825277538255,0
bnCnIJSz,True,101,resign,white,salah04,1942.0,avelez8,1739,C10,French Defense: Marshall Variation,6,10.0,0.0,20.0,203.0,1840.0,Expert,Rapid,French Defense,False,1,1.3115078422261404,0
ZzWyY1f8,True,75,outoftime,white,avelez8,1724.0,vincenzo2000,1855,C45,Scotch Game,7,10.0,0.0,20.0,-131.0,1790.0,Advanced,Rapid,Scotch Game,True,1,0.4924281159256352,0
mkKSL3Ev,True,135,mate,white,majid_alsalhi,1951.0,avelez8,1729,C02,French Defense: Advance Variation |  Main Line,11,10.0,0.0,20.0,222.0,1840.0,Expert,Rapid,French Defense,False,1,2.3826120996960314,0
aVwWNjNR,True,81,outoftime,white,avelez8,1726.0,pavankumarg,1388,C41,Philidor Defense,5,10.0,0.0,20.0,338.0,1557.0,Advanced,Rapid,Philidor Defense,False,1,0.6814465143026748,0
DNUmSBH4,True,46,resign,black,avelez8,1735.0,mrmaccc,1806,D80,Gruenfeld Defense,6,10.0,0.0,20.0,-71.0,1770.0,Advanced,Rapid,Gruenfeld Defense,False,0,-0.4211608095633899,0
Tlng5eqN,True,70,mate,black,hopefullman15,1597.0,avelez8,1728,C00,French Defense: Knight Variation,3,10.0,0.0,20.0,-131.0,1662.0,Advanced,Rapid,French Defense,False,0,0.33491278394476875,0
iNZuj8bY,True,91,resign,white,totoymate,1721.0,avelez8,1750,D30,Queen's Gambit Declined: Traditional Variation,7,10.0,0.0,20.0,-29.0,1736.0,Advanced,Rapid,Queen's Gambit Declined,True,1,0.9964771782644076,0
Kan2JKOp,True,137,outoftime,white,avelez8,1746.0,frynoodles,1487,D20,Queen's Gambit Accepted: Old Variation,5,10.0,0.0,20.0,259.0,1616.0,Advanced,Rapid,Queen's Gambit Accepted,False,1,2.445618232488378,0
bCUwPEJ7,True,46,resign,black,jdalcheco,1744.0,avelez8,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9,10.0,0.0,20.0,9.0,1740.0,Advanced,Rapid,French Defense,True,0,-0.4211608095633899,0
zTwM10Si,True,18,resign,black,avelez8,1749.0,yolandoparada,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9,10.0,0.0,20.0,118.0,1690.0,Advanced,Rapid,Queen's Gambit Declined,True,0,-1.3032466686562416,0
PBQ5Il7e,True,28,resign,black,avelez8,1769.0,murattibogurcu,1396,D20,Queen's Gambit Accepted: Old Variation,5,10.0,0.0,20.0,373.0,1582.0,Advanced,Rapid,Queen's Gambit Accepted,True,0,-0.9882160046945089,0
z1LTn4pe,True,40,resign,black,cdvh,1795.0,hunecel,1760,A46,Yusupov-Rubinstein System,5,5.0,8.0,15.33,35.0,1778.0,Advanced,Blitz,Yusupov-Rubinstein System,True,0,-0.6101792079404296,0
7NKtCk3B,True,111,mate,white,hafedfree,1729.0,cdvh,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,5,15.0,0.0,30.0,-66.0,1762.0,Advanced,Classical,Queen's Gambit Declined,True,1,1.6265385061878732,0
TMtvbg3w,True,54,mate,black,decem,1795.0,cdvh,1784,C64,Ruy Lopez: Classical Variation,6,10.0,0.0,20.0,11.0,1790.0,Advanced,Rapid,Ruy Lopez,True,0,-0.16913627839400366,0
YzMf40DM,True,90,resign,black,cdvh,1783.0,raubstein,1721,D02,Queen's Pawn Game: London System,5,10.0,0.0,20.0,62.0,1752.0,Advanced,Rapid,Queen's Pawn Game,True,0,0.9649741118682343,0
q3NHAFFp,True,90,resign,black,ashishbarda,1884.0,cdvh,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,7,10.0,0.0,20.0,116.0,1826.0,Expert,Rapid,Ruy Lopez,True,0,0.9649741118682343,0
Gz7Icasx,True,40,mate,black,omid163,1756.0,cdvh,1756,C24,Bishop's Opening: Ponziani Gambit,5,10.0,0.0,20.0,0.0,1756.0,Advanced,Rapid,Bishop's Opening,False,0,-0.6101792079404296,0
XRuQPSzH,True,50,resign,black,chess-brahs,2036.0,cdvh,1706,A08,King's Indian Attack: French Variation,6,10.0,0.0,20.0,330.0,1871.0,Expert,Rapid,King's Indian Attack,True,0,-0.2951485439786968,0
XPZikam7,True,59,mate,white,cdvh,1706.0,dashy1,925,D02,Queen's Pawn Game: London System,5,10.0,0.0,20.0,781.0,1316.0,Intermediate,Rapid,Queen's Pawn Game,False,1,-0.011620946413137287,0
5SNh53F9,True,26,outoftime,black,mosheaugustyn,1244.0,sassou,1219,B00,Nimzowitsch Defense: Mikenas Variation,4,15.0,15.0,36.5,25.0,1232.0,Intermediate,Classical,Nimzowitsch Defense,True,0,-1.0512221374868553,0
ezdEKpqG,True,23,mate,white,sassou,1215.0,memoryberat,921,C50,Italian Game,5,15.0,15.0,35.75,294.0,1068.0,Beginner,Classical,Italian Game,False,1,-1.1457313366753752,0
WyQjriEX,True,118,mate,black,fatmat,1350.0,sassou,1201,B03,Alekhine Defense #2,5,15.0,15.0,59.5,149.0,1276.0,Intermediate,Classical,Alekhine Defense #2,True,0,1.847059970961086,0
